PUMFID,WGHT_PER,PRV,HAP_10C,TTLINCG1,PRA_10GR,AGEGR10,predicted_probability_raw,predicted_probability,predicted_label,risk_band
7548.0,817.98,59,1.0,2.0,,6.0,0.78203374,0.78203374,1,Very high
7549.0,424.6627,47,1.0,5.0,,4.0,0.88399714,0.88399714,1,Very high
7553.0,934.6298,48,6.0,2.0,,4.0,0.90385365,0.90385365,1,Very high
7556.0,694.6491,48,1.0,4.0,,5.0,0.6351544,0.6351544,0,High
7557.0,1106.1515,59,2.0,3.0,,7.0,0.7215607,0.7215607,1,Very high
7564.0,157.6598,12,2.0,4.0,9,6.0,0.7402121,0.7402121,1,Very high
7566.0,93.61,13,1.0,3.0,,5.0,0.87554747,0.87554747,1,Very high
7573.0,92.2486,10,3.0,1.0,,4.0,0.8536436,0.8536436,1,Very high
7577.0,543.9482,35,1.0,4.0,,5.0,0.79387265,0.79387265,1,Very high
7580.0,3891.4604,24,3.0,1.0,,1.0,0.9308181,0.9308181,1,Very high
7582.0,104.9016,13,6.0,3.0,,6.0,0.89088094,0.89088094,1,Very high
7583.0,630.7336,35,4.0,3.0,,6.0,0.8185322,0.8185322,1,Very high
7591.0,1223.2679,24,1.0,2.0,,6.0,0.75583965,0.75583965,1,Very high
7595.0,873.4136,48,1.0,1.0,,3.0,0.5275841,0.5275841,0,High
7598.0,79.6523,11,1.0,5.0,,3.0,0.4892233,0.4892233,0,Moderate
7603.0,1122.1955,59,1.0,2.0,,5.0,0.65271825,0.65271825,1,High
7606.0,140.6213,47,6.0,3.0,,6.0,0.890616,0.890616,1,Very high
7613.0,161.3827,10,5.0,1.0,,3.0,0.74345064,0.74345064,1,Very high
7622.0,993.2026,48,1.0,7.0,,4.0,0.3762826,0.3762826,0,Moderate
7624.0,89.0804,13,1.0,4.0,,5.0,0.58013433,0.58013433,0,High
7629.0,388.5439,13,2.0,1.0,,1.0,0.46920875,0.46920875,0,Moderate
7634.0,996.176,35,1.0,2.0,,5.0,0.8191304,0.8191304,1,Very high
